file,estimated_kcal,n_items
10_webp.rf.e29ba1799e124d5a6aa6c6f59f040beb.jpg,450.0,1
11_webp.rf.7e0faa1eee6a29f7d9a0819dbeb9baa8.jpg,576.0,1
13_jpg.rf.ac3a5faaafd2e352ed164b8f3c6f5f38.jpg,1270.0,2
14_webp.rf.f7afa160222f2bf1a5c37a565f5929e8.jpg,694.0,1
16_jpg.rf.dceeb41479a7e12ff656956a1fb3858a.jpg,600.0,2
19_jpg.rf.b8b90de64b4b570adcc6f878817f827b.jpg,450.0,1
19_png.rf.2774cfbe0a2bf73c7a70a1a16f42a500.jpg,390.0,3
19_png.rf.8ff97659400b7081e72ba39a9f1ed27a.jpg,571.0,1
1_jpg.rf.a4f211e4a2081394944d702d82207fdd.jpg,972.0,2
1_webp.rf.add2ccec42df6dc10070f64fa732d868.jpg,450.0,1
20_jpg.rf.f8652ec57857cb2ed3bd66d66f61bb7d.jpg,571.0,1
21_jpeg.rf.44c9905392855001dbc4ad873e188879.jpg,78.0,1
21_jpg.rf.6630e3564ee329233bb26a1e0601e722.jpg,694.0,1
21_jpg.rf.9c0aff28c8a487b20f614ad9bf9d1677.jpg,910.0,7
22_jpg.rf.cbf2669ce8ff9e21035ca55adc6cf387.jpg,694.0,1
23_jpeg.rf.cae188a8355dd7fe3055a889d887217e.jpg,522.0,1
24_jpg.rf.04114faddcd3ec3d805681f1b79ef4c8.jpg,823.0,2
24_webp.rf.e611224961c2b2fb370aeb7075bd8140.jpg,727.0,3
26_png.rf.a13ae887ca4fd2a17d218a67ff50d22a.jpg,300.0,1
27_webp.rf.c54844473e366c5e95922cc29c13bcba.jpg,522.0,1
31_jpg.rf.ddb5759115850cdbab9cbbdf92ff49d6.jpg,745.0,1
35_jpeg.rf.f5a1a15b794b02128584b72bacc74f4b.jpg,260.0,2
35_jpg.rf.b792532df466c7108506ab446aef7b08.jpg,694.0,1
36_jpg.rf.5c6ff949cbfe81436c29d46f3e55c03f.jpg,1144.0,2
38_jpeg.rf.b779705fa7b6d53402c35d3674d135af.jpg,450.0,1
39_jpg.rf.ab5f598c4397b041d6f1a3400e4db631.jpg,745.0,1
41_jpg.rf.3202306dfc02156a529cb2bb0e675d3f.jpg,571.0,1
42_jpeg.rf.eb4e55aa2e27f60ea593f7c89d9f6e84.jpg,522.0,1
43_jpg.rf.25ab37a97381949ba9220dcffce18f22.jpg,1180.0,5
44_jpg.rf.a42b2dec44efd885d2f35772badead6d.jpg,522.0,1
44_jpg.rf.f0b7fe9740b4d3dd2e8a6400aeb3b336.jpg,450.0,1
45_jpg.rf.2d78fa1c430631901da032ed241abdcf.jpg,576.0,1
45_jpg.rf.e68c1287aa92b9d023aa7c11d9d18265.jpg,450.0,1
4_jpg.rf.3cdac5af335499e15d084d5d0b718380.jpg,650.0,5
50_jpg.rf.fffac78dfef3c29668ef5079d6c7b409.jpg,300.0,1
51_jpg.rf.4797976df89732863de77689f7451942.jpg,649.0,2
52_jpg.rf.4772d2f3034273abc0632b1b2bf7726e.jpg,745.0,1
55_jpg.rf.add3e874d57d4d10cefb125215c595c2.jpg,260.0,2
56_jpg.rf.78d8efcd88616817f6e0e67bce008554.jpg,900.0,2
59_webp.rf.83a4012af9c89d1876f725e75b55d381.jpg,450.0,1
5_jpg.rf.7fb6ad9aac4bd893ddefec31394c64bb.jpg,910.0,7
5_jpg.rf.c142f67762a2463c24636efc7742ec36.jpg,300.0,1
5_jpg.rf.e8eedb6c2682416a7f294facda5926a4.jpg,694.0,1
61_jpg.rf.cc3cd36c0112a472f5d6e473bd650520.jpg,576.0,1
63_jpg.rf.028b72bed2420806ea9d41b4961f17c7.jpg,465.0,2
63_jpg.rf.3b7a8ca59cf8665eb18f49b5fb5b2115.jpg,522.0,1
64_jpeg.rf.e0895d62356cf28b386071d1fab1d37f.jpg,654.0,2
65_jpeg.rf.2aae27e83384779c01a6b6a8db881f7c.jpg,576.0,1
65_jpg.rf.618d5e7099308a8ead03889160a18209.jpg,571.0,1
67_jpeg.rf.5ecf8c9e7e875bd7333d7e87e9d360de.jpg,0.0,0
67_jpg.rf.5e87d9a97722df02b5cc4d9805bb28f4.jpg,727.0,3
68_png.rf.01e793bdf9741b2a9f5a486ae3200fc9.jpg,649.0,2
68_webp.rf.4e3279ebf1cbe0bca6dc122fb817d1dd.jpg,650.0,5
69_jpg.rf.6cce9ce593c358625936bed1da2ccf18.jpg,681.0,3
70_jpg.rf.5478c816ded208ce78e419c88d5ebdfd.jpg,666.0,2
72_jpg.rf.b0ea21b59cf738f2894158b83f016c78.jpg,1144.0,2
74_webp.rf.324ab668e8608e9ec735f72937c218bb.jpg,450.0,1
8_jpg.rf.3486db9def33ac3071f31aaf8615da5c.jpg,900.0,3
fried27_jpg.rf.50a048ad3961cc086c58041ca867a9ae.jpg,1793.0,10
fried34_jpg.rf.37744e1626b9491c42812a8ab2fa3cff.jpg,1018.0,5
fried48_jpg.rf.4d732d39643731779359386fa5bf2b79.jpg,623.0,6
fried64_jpg.rf.9d5de1613cc70ed31f49d8106f8daa5d.jpg,1230.0,5
fried6_jpg.rf.b1f98f67fdf3b7cf92493bc38a7fe563.jpg,893.0,7
fried8_webp.rf.c9590703fe99d737b178433b5032e301.jpg,965.0,8
plain10_jpg.rf.21927fe4e929db2eb1283676a8d6c2f8.jpg,650.0,7
plain1_jpeg.rf.9fbb783e2deb6af4893fc8f1c10666d2.jpg,623.0,6
plain24_jpg.rf.08378282b0f9686393708c0143d0cfeb.jpg,1253.0,10
plain39_jpg.rf.3dbd8b5266e0bc893f0cb130c2c63036.jpg,546.0,4
plain58_jpg.rf.7b2020c76a17039db777e3865fcab7ae.jpg,623.0,6
plain60_webp.rf.44f6e28f0f4867cf55d413ddaea7d82c.jpg,563.0,5
rendang12_jpg.rf.9dbe6c447e212ee9582edf4dde9f5569.jpg,628.0,3
rendang17_jpeg.rf.03052dd3874f2f280a94fd791dde935f.jpg,873.0,7
rendang31_jpg.rf.706620a50d2d42ea7f9d3498e8f0d65b.jpg,813.0,6
rendang46_jpg.rf.967adac9ec22e155ca85e2ea12b0b289.jpg,958.0,7
rendang57_webp.rf.1982140177e2fa9e89dd682a7937522f.jpg,630.0,3
rendang62_jpg.rf.a28570796e760745bf06f74281be4f76.jpg,1083.0,7
